created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,JSW MG MOTOR INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,1,1
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,KIA INDIA PRIVATE LIMITED,0,2,0,0,0,0,0,0,0,4,6,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,1,0,0,0,0,1,2,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,MARUTI SUZUKI INDIA LTD,0,0,0,0,13,3,0,0,0,0,16,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,1,0,0,0,0,1,2,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,1,0,0,0,1,2,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,1,0,0,0,0,0,0,1,1
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,1,6,7,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,HONDA CARS INDIA LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,1,0,0,0,6,8,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,KIA INDIA PRIVATE LIMITED,0,2,0,0,0,0,0,0,0,3,5,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,MAHINDRA & MAHINDRA LIMITED,0,8,0,0,1,0,0,0,0,1,10,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,8,11,5,0,0,0,24,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,7,7,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,0,0,0,0,0,3,3,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,TATA MOTORS PASSENGER VEHICLES LTD,0,1,0,0,0,1,0,0,0,8,10,0
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,1,0,0,0,0,0,0,1,1
2025-11-07T12:55:29.356177+00:00,Tamil Nadu,CHENGALPATTU RTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,1,0,0,4,5,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,HONDA CARS INDIA LTD,0,0,0,0,3,0,0,0,0,0,3,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,0,0,1,0,8,9,1
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,2,0,0,2,2
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,KIA INDIA PRIVATE LIMITED,0,2,0,0,0,0,0,0,0,10,12,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA ELECTRIC AUTOMOBILE LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA & MAHINDRA LIMITED,0,1,0,0,1,0,0,0,0,0,2,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,12,1,3,0,0,0,16,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,2,0,0,0,0,0,2,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,3,3,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,1,0,0,0,0,2,3,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,0,0,4,4,0
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.376359+00:00,Tamil Nadu,CHENNAI RTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,2,0,0,0,0,0,0,2,2,6,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,HONDA CARS INDIA LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,HYUNDAI MOTOR INDIA LTD,0,1,0,0,1,0,0,0,0,2,4,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,KIA INDIA PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,2,3,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA & MAHINDRA LIMITED,0,5,0,0,1,0,0,0,0,1,7,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,3,4,1,0,0,0,8,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.399385+00:00,Tamil Nadu,CHENNAI RTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,1,0,0,0,0,0,0,0,1,2,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,0,0,4,5,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,MAHINDRA & MAHINDRA LIMITED,0,4,0,0,0,0,0,0,0,1,5,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,MARUTI SUZUKI INDIA LTD,0,0,0,0,4,1,1,0,0,0,6,0
